dataset_name,repeat_id,fold_id,fold,n_expected_folds,estimator,n_train,n_test,n_original_features,n_transformed_features,accuracy,balanced_accuracy,auroc,mcc,fit_time,predict_time,n_rules,n_conditions,mean_conditions_per_rule,n_literals,mean_literals_per_rule
hepatitis_survival_prediction,6,2,21,60,RandomFuzzyRules__max_sampling_attempts__100000,104,51,19,32,0.803921568627451,0.6134146341463415,0.8951219512195122,0.279517586746904,0.014833642169833183,0.00014645885676145554,,,,,
hepatitis_survival_prediction,6,2,21,60,RandomFuzzyRules__max_sampling_attempts__1000000,104,51,19,32,0.803921568627451,0.6134146341463415,0.8951219512195122,0.279517586746904,0.015312267001718283,0.0001474078744649887,,,,,
hepatitis_survival_prediction,7,0,22,60,RandomFuzzyRules__max_sampling_attempts__20000,103,52,19,32,0.8653846153846154,0.6818181818181819,0.8425720620842572,0.5573204290227127,0.014339508023113012,0.00014160806313157082,,,,,
hepatitis_survival_prediction,7,0,22,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.8653846153846154,0.6818181818181819,0.8425720620842572,0.5573204290227127,0.014828822109848261,0.00014821812510490417,,,,,
hepatitis_survival_prediction,7,0,22,60,RandomFuzzyRules__max_sampling_attempts__1000000,103,52,19,32,0.8653846153846154,0.6818181818181819,0.8425720620842572,0.5573204290227127,0.014676054008305073,0.00013952841982245445,,,,,
hepatitis_survival_prediction,7,1,23,60,RandomFuzzyRules__max_sampling_attempts__20000,103,52,19,32,0.8461538461538461,0.7694013303769401,0.7849223946784922,0.5388026607538803,0.014461616985499859,0.00014053937047719955,,,,,
hepatitis_survival_prediction,7,1,23,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.8461538461538461,0.7694013303769401,0.7849223946784922,0.5388026607538803,0.014798942022025585,0.00015181908383965492,,,,,
hepatitis_survival_prediction,7,1,23,60,RandomFuzzyRules__max_sampling_attempts__1000000,103,52,19,32,0.8461538461538461,0.7694013303769401,0.7849223946784922,0.5388026607538803,0.014595984946936369,0.00014213891699910164,,,,,
hepatitis_survival_prediction,7,2,24,60,RandomFuzzyRules__max_sampling_attempts__20000,104,51,19,32,0.803921568627451,0.5756097560975609,0.6963414634146341,0.22331651228714236,0.015166408848017454,0.00014561880379915237,,,,,
hepatitis_survival_prediction,7,2,24,60,RandomFuzzyRules__max_sampling_attempts__100000,104,51,19,32,0.803921568627451,0.5756097560975609,0.6963414634146341,0.22331651228714236,0.014801543205976486,0.0001431587152183056,,,,,
hepatitis_survival_prediction,7,2,24,60,RandomFuzzyRules__max_sampling_attempts__1000000,104,51,19,32,0.803921568627451,0.5756097560975609,0.6963414634146341,0.22331651228714236,0.015154899097979069,0.00014550797641277313,,,,,
hepatitis_survival_prediction,8,0,25,60,RandomFuzzyRules__max_sampling_attempts__20000,103,52,19,32,0.7692307692307693,0.5543237250554324,0.35365853658536583,0.150512953502523,0.015011920128017664,0.00014548888429999352,,,,,
hepatitis_survival_prediction,8,0,25,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.7692307692307693,0.5543237250554324,0.35365853658536583,0.150512953502523,0.014540094882249832,0.00013045873492956161,,,,,
hepatitis_survival_prediction,8,0,25,60,RandomFuzzyRules__max_sampling_attempts__1000000,103,52,19,32,0.7692307692307693,0.5543237250554324,0.35365853658536583,0.150512953502523,0.01465708389878273,0.0001452290453016758,,,,,
hepatitis_survival_prediction,8,1,26,60,RandomFuzzyRules__max_sampling_attempts__20000,103,52,19,32,0.7115384615384616,0.5177383592017738,0.6807095343680709,0.04015691857267147,0.014433116186410189,0.0001409091055393219,,,,,
hepatitis_survival_prediction,8,1,26,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.7115384615384616,0.5177383592017738,0.6807095343680709,0.04015691857267147,0.014597035013139248,0.00014506792649626732,,,,,
hepatitis_survival_prediction,8,1,26,60,RandomFuzzyRules__max_sampling_attempts__1000000,103,52,19,32,0.7115384615384616,0.5177383592017738,0.6807095343680709,0.04015691857267147,0.01493199123069644,0.00014923932030797005,,,,,
hepatitis_survival_prediction,8,2,27,60,RandomFuzzyRules__max_sampling_attempts__20000,104,51,19,32,0.6666666666666666,0.4902439024390244,0.4731707317073171,-0.018835264373920444,0.014488616026937962,0.00014618923887610435,,,,,
hepatitis_survival_prediction,8,2,27,60,RandomFuzzyRules__max_sampling_attempts__100000,104,51,19,32,0.6666666666666666,0.4902439024390244,0.4731707317073171,-0.018835264373920444,0.014888161793351173,0.00014676805585622787,,,,,
hepatitis_survival_prediction,8,2,27,60,RandomFuzzyRules__max_sampling_attempts__1000000,104,51,19,32,0.6666666666666666,0.4902439024390244,0.4731707317073171,-0.018835264373920444,0.014578625094145536,0.00014348886907100677,,,,,
hepatitis_survival_prediction,9,0,28,60,RandomFuzzyRules__max_sampling_attempts__20000,103,52,19,32,0.8461538461538461,0.6363636363636364,0.738359201773836,0.47770322487661093,0.014689113944768906,0.00014523835852742195,,,,,
hepatitis_survival_prediction,9,0,28,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.8461538461538461,0.6363636363636364,0.738359201773836,0.47770322487661093,0.014934730716049671,0.00014630891382694244,,,,,
hepatitis_survival_prediction,9,0,28,60,RandomFuzzyRules__max_sampling_attempts__1000000,103,52,19,32,0.8461538461538461,0.6363636363636364,0.738359201773836,0.47770322487661093,0.014544195961207151,0.00014150841161608696,,,,,
hepatitis_survival_prediction,9,1,29,60,RandomFuzzyRules__max_sampling_attempts__20000,103,52,19,32,0.75,0.6086474501108647,0.6518847006651884,0.2251713644872949,0.01490002078935504,0.00014799879863858223,,,,,
hepatitis_survival_prediction,9,1,29,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.75,0.6086474501108647,0.6518847006651884,0.2251713644872949,0.014707503374665976,0.00015487801283597946,,,,,
hepatitis_survival_prediction,9,1,29,60,RandomFuzzyRules__max_sampling_attempts__1000000,103,52,19,32,0.75,0.6086474501108647,0.6518847006651884,0.2251713644872949,0.014602625276893377,0.00014313822612166405,,,,,
hepatitis_survival_prediction,9,2,30,60,RandomFuzzyRules__max_sampling_attempts__20000,104,51,19,32,0.7647058823529411,0.47560975609756095,0.39756097560975606,-0.09977575653851117,0.014906540978699923,0.0001427987590432167,,,,,
hepatitis_survival_prediction,9,2,30,60,RandomFuzzyRules__max_sampling_attempts__100000,104,51,19,32,0.7647058823529411,0.47560975609756095,0.39756097560975606,-0.09977575653851117,0.014391907025128603,0.0001452588476240635,,,,,
hepatitis_survival_prediction,9,2,30,60,RandomFuzzyRules__max_sampling_attempts__1000000,104,51,19,32,0.7647058823529411,0.47560975609756095,0.39756097560975606,-0.09977575653851117,0.014605575241148472,0.00015176832675933838,,,,,
hepatitis_survival_prediction,10,0,31,60,RandomFuzzyRules__max_sampling_attempts__20000,103,52,19,32,0.7884615384615384,0.5332594235033259,0.458980044345898,0.14126448280440332,0.014838902279734612,0.0001422576606273651,,,,,
hepatitis_survival_prediction,10,0,31,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.7884615384615384,0.5332594235033259,0.458980044345898,0.14126448280440332,0.014643763657659292,0.00014787819236516953,,,,,
hepatitis_survival_prediction,10,0,31,60,RandomFuzzyRules__max_sampling_attempts__1000000,103,52,19,32,0.7884615384615384,0.5332594235033259,0.458980044345898,0.14126448280440332,0.015262717846781015,0.00014886818826198578,,,,,
hepatitis_survival_prediction,10,1,32,60,RandomFuzzyRules__max_sampling_attempts__20000,103,52,19,32,0.8076923076923077,0.5787139689578714,0.4711751662971175,0.2757473899694258,0.014735013712197542,0.0001450791023671627,,,,,
hepatitis_survival_prediction,10,1,32,60,RandomFuzzyRules__max_sampling_attempts__100000,103,52,19,32,0.8076923076923077,0.5787139689578714,0.4711751662971175,0.2757473899694258,0.015112459193915129,0.0001463182270526886,,,,,
