study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,8192,2,GreedyRuleList,8192,70,60,10,100,,0.11909371800720692,0.11909371800720692,ok
samples,8192,3,RFR,8192,70,60,10,100,1000,0.1163201101589948,0.1163201101589948,ok
samples,8192,3,GPR,8192,70,60,10,100,,0.862257539993152,1.0791967851109803,ok
samples,8192,3,FIGS,8192,70,60,10,100,,4.279181360965595,4.279181360965595,ok
samples,8192,3,HSTree,8192,70,60,10,100,,0.2728225390892476,0.2728225390892476,ok
samples,8192,3,GreedyRuleList,8192,70,60,10,100,,0.12467159307561815,0.12467159307561815,ok
samples,8192,4,RFR,8192,70,60,10,100,1000,0.1167352159973234,0.1167352159973234,ok
samples,8192,4,GPR,8192,70,60,10,100,,0.8571524419821799,1.075181496096775,ok
samples,8192,4,FIGS,8192,70,60,10,100,,4.27661447506398,4.27661447506398,ok
samples,8192,4,HSTree,8192,70,60,10,100,,0.2865811479277909,0.2865811479277909,ok
samples,8192,4,GreedyRuleList,8192,70,60,10,100,,0.12144930078648031,0.12144930078648031,ok
samples,16384,0,RFR,16384,70,60,10,100,1000,0.2401244449429214,0.2401244449429214,ok
samples,16384,0,GPR,16384,70,60,10,100,,1.5281292309518903,1.7461970660369843,ok
samples,16384,0,FIGS,16384,70,60,10,100,,8.817388684023172,8.817388684023172,ok
samples,16384,0,HSTree,16384,70,60,10,100,,0.6029834591317922,0.6029834591317922,ok
samples,16384,0,GreedyRuleList,16384,70,60,10,100,,0.2489273331593722,0.2489273331593722,ok
samples,16384,1,RFR,16384,70,60,10,100,1000,0.2409179168753326,0.2409179168753326,ok
samples,16384,1,GPR,16384,70,60,10,100,,1.4045011848211288,1.6240235429722816,ok
samples,16384,1,FIGS,16384,70,60,10,100,,8.954728671815246,8.954728671815246,ok
samples,16384,1,HSTree,16384,70,60,10,100,,0.5820625668857247,0.5820625668857247,ok
samples,16384,1,GreedyRuleList,16384,70,60,10,100,,0.24445878597907722,0.24445878597907722,ok
samples,16384,2,RFR,16384,70,60,10,100,1000,0.23794071399606764,0.23794071399606764,ok
samples,16384,2,GPR,16384,70,60,10,100,,1.6891044680960476,1.9051191280595958,ok
samples,16384,2,FIGS,16384,70,60,10,100,,8.953845415031537,8.953845415031537,ok
samples,16384,2,HSTree,16384,70,60,10,100,,0.5805269689299166,0.5805269689299166,ok
samples,16384,2,GreedyRuleList,16384,70,60,10,100,,0.25296397786587477,0.25296397786587477,ok
samples,16384,3,RFR,16384,70,60,10,100,1000,0.24441661918535829,0.24441661918535829,ok
samples,16384,3,GPR,16384,70,60,10,100,,1.418763492954895,1.6384952019434422,ok
samples,16384,3,FIGS,16384,70,60,10,100,,8.844523378880695,8.844523378880695,ok
