study,value,repeat,estimator,n_samples,n_original_features,n_numerical_features,n_categorical_features,n_transformed_features,n_candidates,fit_time,fit_wall_time,status
samples,4096,3,GPR,4096,70,60,10,100,,0.9558106999999723,1.642141400000014,ok
samples,4096,3,FIGS,4096,70,60,10,100,,2.3727061000000162,2.3727061000000162,ok
samples,4096,3,RuleFit,4096,70,60,10,100,,7.5492205999999555,7.5492205999999555,ok
samples,4096,3,HSTree,4096,70,60,10,100,,0.1406737000000362,0.1406737000000362,ok
samples,4096,3,GreedyRuleList,4096,70,60,10,100,,0.0707735000000298,0.0707735000000298,ok
samples,4096,4,RFR,4096,70,60,10,100,10000,0.6168864999999641,0.6168864999999641,ok
samples,4096,4,GPR,4096,70,60,10,100,,0.9842231000000083,1.6658095999999887,ok
samples,4096,4,FIGS,4096,70,60,10,100,,2.37716979999999,2.37716979999999,ok
samples,4096,4,RuleFit,4096,70,60,10,100,,6.986117900000011,6.986117900000011,ok
samples,4096,4,HSTree,4096,70,60,10,100,,0.15123289999996814,0.15123289999996814,ok
samples,4096,4,GreedyRuleList,4096,70,60,10,100,,0.06236799999999221,0.06236799999999221,ok
samples,8192,0,RFR,8192,70,60,10,100,10000,1.4764230000000111,1.4764230000000111,ok
samples,8192,0,GPR,8192,70,60,10,100,,1.3487091999999734,2.0192259000000377,ok
samples,8192,0,FIGS,8192,70,60,10,100,,4.8621535000000335,4.8621535000000335,ok
samples,8192,0,RuleFit,8192,70,60,10,100,,12.800145100000009,12.800145100000009,ok
samples,8192,0,HSTree,8192,70,60,10,100,,0.2962413000000197,0.2962413000000197,ok
samples,8192,0,GreedyRuleList,8192,70,60,10,100,,0.14776119999999082,0.14776119999999082,ok
samples,8192,1,RFR,8192,70,60,10,100,10000,1.482193900000027,1.482193900000027,ok
samples,8192,1,GPR,8192,70,60,10,100,,1.3642558999999892,2.0501007999999956,ok
samples,8192,1,FIGS,8192,70,60,10,100,,4.963191900000027,4.963191900000027,ok
